ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-1,3,08/02/2016 00:37,08/02/2016 06:37,40.10891,-83.09286,40.11206,-83.03187,3.23,Between Sawmill Rd/Exit 20 and OH-315/Olentangy Riv Rd/Exit 22 - Accident.,,Outerbelt E,R,Dublin,Franklin,OH,43017,US,US/Eastern,KOSU,08/02/2016 00:53,42.1,36.1,58,29.76,10,SW,10.4,0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2,2,08/02/2016 05:56,08/02/2016 11:56,39.86542,-84.0628,39.86501,-84.04873,0.747,At OH-4/OH-235/Exit 41 - Accident.,,I-70 E,R,Dayton,Montgomery,OH,45424,US,US/Eastern,KFFO,08/02/2016 05:58,36.9,,91,29.68,10,Calm,,0.02,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3,2,08/02/2016 06:15,08/02/2016 12:15,39.10266,-84.52468,39.10209,-84.52396,0.055,At I-71/US-50/Exit 1 - Accident.,,I-75 S,R,Cincinnati,Hamilton,OH,45203,US,US/Eastern,KLUK,08/02/2016 05:53,36,,97,29.7,10,Calm,,0.02,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-4,2,08/02/2016 06:51,08/02/2016 12:51,41.06213,-81.53784,41.06217,-81.53547,0.123,At Dart Ave/Exit 21 - Accident.,,I-77 N,R,Akron,Summit,OH,44311,US,US/Eastern,KAKR,08/02/2016 06:54,39,,55,29.65,10,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-5,3,08/02/2016 07:53,08/02/2016 13:53,39.172393,-84.492792,39.170476,-84.501798,0.5,At Mitchell Ave/Exit 6 - Accident.,,I-75 S,R,Cincinnati,Hamilton,OH,45217,US,US/Eastern,KLUK,08/02/2016 07:53,37,29.8,93,29.69,10,WSW,10.4,0.01,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6,2,08/02/2016 08:16,08/02/2016 14:16,39.06324,-84.03243,39.06731,-84.05851,1.427,At Dela Palma Rd - Accident.,,State Route 32,R,Williamsburg,Clermont,OH,45176,US,US/Eastern,KI69,08/02/2016 08:16,35.6,29.2,100,29.66,10,WSW,8.1,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-7,2,08/02/2016 08:15,08/02/2016 14:15,39.77565,-84.18603,39.77275,-84.18805,0.227,At OH-4/Exit 54 - Accident.,,I-75 S,R,Dayton,Montgomery,OH,45404,US,US/Eastern,KFFO,08/02/2016 08:18,33.8,,100,29.63,3,SW,2.3,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-8,2,08/02/2016 11:51,08/02/2016 17:51,41.37531,-81.82017,41.36786,-81.82174,0.521,At Bagley Rd/Exit 235 - Accident.,,I-71 S,R,Cleveland,Cuyahoga,OH,44130,US,US/Eastern,KCLE,08/02/2016 11:51,33.1,30,92,29.63,0.5,SW,3.5,0.08,Snow,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-9,2,08/02/2016 14:19,08/02/2016 20:19,40.702247,-84.075887,40.69911,-84.084293,0.491,At OH-65/Exit 122 - Accident.,,E Hanthorn Rd,R,Lima,Allen,OH,45806,US,US/Eastern,KAOH,08/02/2016 13:53,39,31.8,70,29.59,10,WNW,11.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-10,2,08/02/2016 15:16,08/02/2016 21:16,40.10931,-82.96849,40.11078,-82.984,0.826,At I-71/Exit 26 - Accident.,,Outerbelt W,R,Westerville,Franklin,OH,43081,US,US/Eastern,KCMH,08/02/2016 15:12,32,28.7,100,29.59,0.5,West,3.5,0.05,Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
