
id_venta;id_prod;id_cliente ;id_territorio;cod_pago ;id_vendedor ;fecha_venta;fecha_entrega;fecha_pago ;valor_unidad;cantidad ;costos _directos ;costos_indirectos 
1;33;149;11;104;43;22 07 2019;30 07 2019;23 08 2019;331;111;14696,4;8817,84
2;5;4;9;101;87;9 04 2019;28 04 2019;24 05 2019;766;55;21065;8426
3;5;125;20;106;89;26 06 2018;30 06 2018;24 07 2018;617;19;5861,5;2930,75
4;25;212;15;104;49;12 05 2019;18 05 2019;12 06 2019;856;57;24396;12198
5;70;189;14;103;90;11 12 2018;13 12 2018;16 12 2018;128;31;1587,2;793,6
6;11;79;14;103;54;19 01 2018;5 02 2018;5 03 2018;151;112;8456;4228
7;53;194;8;105;3;13 06 2019;29 06 2019;28 07 2019;526;90;18936;9468
8;71;141;9;104;33;11 01 2018;1 02 2018;2 03 2018;142;114;8094;3237,6
9;78;153;1;103;32;7 09 2019;22 09 2019;23 09 2019;132;114;7524;4514,4
10;34;219;14;103;28;19 03 2019;7 04 2019;14 04 2019;661;5;1322;528,8
11;8;12;5;106;48;1 05 2019;25 05 2019;13 06 2019;966;50;19320;11592
12;59;277;10;102;80;21 01 2019;31 01 2019;27 02 2019;159;15;954;477
13;4;332;7;101;54;19 09 2018;20 09 2018;17 10 2018;135;85;4590;2754
14;86;99;8;101;41;18 10 2019;4 11 2019;26 11 2019;830;67;22244;13346,4
15;32;267;7;106;41;23 07 2019;7 08 2019;17 08 2019;102;56;2856;1142,4
16;9;210;16;102;25;28 12 2018;11 01 2019;11 01 2019;990;103;40788;24472,8
17;23;208;15;103;54;1 02 2019;20 02 2019;25 02 2019;759;84;31878;12751,2
18;17;245;15;101;41;18 08 2018;12 09 2018;14 09 2018;930;88;32736;19641,6
19;24;319;13;102;56;25 11 2018;25 11 2018;12 12 2018;727;59;17157,2;8578,6
20;90;200;7;104;21;25 08 2018;15 09 2018;14 10 2018;953;26;9911,2;4955,6
21;53;272;13;104;31;8 02 2019;10 02 2019;14 02 2019;797;73;23272,4;13963,44
22;18;283;1;105;69;17 10 2019;6 11 2019;2 12 2019;414;35;7245;2898
23;67;207;16;106;80;20 09 2018;6 10 2018;10 10 2018;148;60;4440;1776
24;86;325;16;101;39;27 06 2018;23 07 2018;16 08 2018;492;56;13776;5510,4
25;59;329;1;101;20;31 01 2018;23 02 2018;3 03 2018;969;12;5814;2907
26;15;307;17;101;18;26 07 2018;12 08 2018;31 08 2018;525;28;5880;2940
27;4;171;3;103;5;22 08 2019;26 08 2019;15 09 2019;923;95;35074;14029,6
28;42;269;13;101;102;13 08 2019;2 09 2019;4 09 2019;368;85;12512;7507,2
29;53;116;5;101;27;14 04 2019;10 05 2019;16 05 2019;899;87;31285,2;15642,6
30;71;146;7;104;23;19 11 2018;25 11 2018;25 12 2018;550;56;15400;7700
31;85;22;5;104;36;9 03 2018;12 03 2018;19 03 2018;858;24;8236,8;3294,72
32;71;239;18;103;98;11 12 2018;22 12 2018;3 01 2019;673;112;37688;22612,8
33;64;44;17;106;37;6 03 2018;11 03 2018;12 03 2018;983;14;6881;2752,4
34;86;239;4;101;54;19 07 2019;10 08 2019;31 08 2019;354;114;16142,4;9685,44
35;88;1;3;106;79;2 11 2019;2 12 2019;6 12 2019;148;67;4958;2974,8
36;38;200;17;102;29;14 12 2019;18 12 2019;7 01 2020;898;52;18678,4;11207,04
37;68;285;10;102;32;5 07 2018;31 07 2018;21 08 2018;628;45;11304;4521,6
38;6;208;19;106;101;1 09 2018;1 10 2018;24 10 2018;613;98;30037;12014,8
39;47;6;9;105;105;4 08 2019;19 08 2019;24 08 2019;831;2;664,8;398,88
40;23;273;2;105;68;24 07 2019;22 08 2019;18 09 2019;578;36;10404;5202
41;21;317;13;101;102;10 12 2018;29 12 2018;31 12 2018;114;57;3249;1299,6
42;81;288;19;102;23;30 09 2019;3 10 2019;4 10 2019;175;54;4725;2835
43;70;12;6;102;74;18 12 2019;18 12 2019;22 12 2019;88;36;1267,2;633,6
44;81;288;7;105;11;13 02 2018;20 02 2018;17 03 2018;207;74;6127,2;2450,88
45;45;14;20;104;16;30 11 2019;25 12 2019;1 01 2020;412;19;3131,2;1878,72
46;88;45;20;101;17;23 05 2019;1 06 2019;11 06 2019;735;20;5880;2940
47;22;267;7;106;44;1 12 2019;31 12 2019;20 01 2020;448;23;5152;2576
48;61;101;19;101;30;3 08 2018;1 09 2018;9 09 2018;426;7;1491;745,5
49;49;90;10;105;46;6 08 2018;23 08 2018;28 08 2018;489;21;4107,6;2053,8
50;26;100;4;101;49;9 12 2019;14 12 2019;5 01 2020;703;97;34095,5;17047,75
51;4;67;18;106;3;14 02 2018;6 03 2018;24 03 2018;658;93;30597;12238,8
52;58;297;15;103;32;7 03 2018;5 04 2018;25 04 2018;504;7;1764;1058,4
53;11;276;15;103;17;10 10 2018;11 10 2018;6 11 2018;127;59;3746,5;1873,25
54;92;180;3;102;21;11 05 2018;21 05 2018;21 05 2018;915;28;12810;7686
55;56;263;15;106;81;9 12 2018;11 12 2018;27 12 2018;249;82;10209;4083,6
56;57;131;20;106;62;8 10 2019;13 10 2019;28 10 2019;763;93;35479,5;17739,75
57;15;189;2;106;44;14 05 2019;29 05 2019;26 06 2019;205;18;1845;738
58;53;99;14;106;90;21 10 2018;23 10 2018;9 11 2018;810;102;41310;16524
59;33;280;10;102;12;8 04 2018;14 04 2018;8 05 2018;621;66;20493;12295,8
60;44;207;13;102;85;6 10 2019;30 10 2019;12 11 2019;177;106;7504,8;3001,92
61;87;196;6;103;74;11 01 2018;19 01 2018;17 02 2018;298;40;4768;1907,2
62;2;15;2;103;46;27 03 2018;29 03 2018;12 04 2018;957;106;40576,8;20288,4
63;71;303;20;104;19;25 11 2018;10 12 2018;6 01 2019;654;29;7586,4;3793,2
64;4;198;11;102;59;11 01 2019;29 01 2019;27 02 2019;311;13;2021,5;808,6
65;59;121;8;105;38;15 03 2018;10 04 2018;14 04 2018;217;19;2061,5;1236,9
66;54;271;7;106;60;6 05 2018;10 05 2018;11 05 2018;336;80;10752;4300,8
67;43;324;19;106;82;19 09 2018;25 09 2018;4 10 2018;434;115;19964;7985,6
68;41;28;9;104;96;11 09 2018;24 09 2018;1 10 2018;924;43;19866;7946,4
69;16;292;13;102;62;16 05 2018;8 06 2018;21 06 2018;438;47;8234,4;3293,76
70;82;248;3;105;70;25 02 2019;22 03 2019;18 04 2019;373;28;4177,6;2088,8
